sale_id,price_eth,price_z,buyer_activity,seller_activity,token_gap_h,mkt_code,label_wash
1,13.1563,0.5020453467715489,15,1,473.34,0,0
2,13.0,0.487685806046092,15,9,473.34,0,0
3,7.036,-0.060236784399364425,2,1,473.34,0,0
4,7.0,-0.06354416422096673,1,1,473.34,2,0
5,7.099,-0.05444886971156025,1,4,473.34,1,0
6,7.02,-0.06170673098674325,1,1,473.34,0,0
7,7.03,-0.060788014369631424,12,2,473.34,0,0
8,7.0289,-0.06088907319751372,12,1,473.34,0,0
9,7.88,0.017302898084868533,1,5,473.34,1,0
10,7.2,-0.04516983187873143,2,1,473.34,0,0
11,7.248,-0.04075999211659496,12,2,473.34,0,0
12,7.246,-0.04094373544001729,2,4,473.34,0,0
13,7.249,-0.040668120454883834,12,3,473.34,0,0
14,7.788,0.008850705207440333,2,56,473.34,1,0
15,7.99,0.027408780873097973,1,1,473.34,0,0
16,7.06515,-0.05755872546048359,1,1,473.34,0,0
17,7.069,-0.057205019562895566,6,1,473.34,0,0
18,8.05,0.032921080575768605,1,21,473.34,2,0
19,7.145,-0.05022277327284619,1,1,473.34,0,0
20,7.1256,-0.05200508351004294,12,1,473.34,0,0
21,7.89,0.01822161470198028,7,3,473.34,0,0
22,7.219,-0.043424270306219065,1,4,473.34,1,0
23,14.5,0.6254932986128567,2,1,473.34,2,0
24,7.9899,0.027399593706926795,1,56,473.34,1,0
25,13.0,0.487685806046092,1,9,473.34,2,0
26,7.6,-0.008421167194260898,12,1,473.34,0,0
27,7.428,-0.024223093008583222,1,3,473.34,0,0
28,7.39,-0.02771421615360795,1,1,473.34,0,0
29,7.25,-0.04057624879317263,1,3,473.34,0,0
30,7.17,-0.04792598173006675,12,1,473.34,0,0
31,8.0,0.02832749749020972,6,1,473.34,0,0
32,7.17,-0.04792598173006675,12,5,473.34,0,0
33,7.249,-0.040668120454883834,5,3,473.34,0,0
34,7.9,0.019140331319092107,7,1,473.34,0,0
35,7.25,-0.04057624879317263,1,23,473.34,1,0
36,7.21499,-0.04379267566968089,12,2,473.34,0,0
37,7.25,-0.04057624879317263,7,1,0.6538888888888889,0,0
38,7.69,-0.00015271764025494706,1,1,473.34,0,0
39,7.8,0.00995316514797441,1,1,473.34,1,0
40,7.33,-0.0332265158562785,7,3,473.34,0,0
41,7.3,-0.03598266570761382,7,1,473.34,0,0
42,7.289,-0.03699325398643677,7,3,473.34,0,0
