collection,contract,tokenId,buyer,seller,price_eth,marketplace,block,timestamp,txhash
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6218,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,0xcc1cb0fa339eb32e436dce1ba752bda72fc6edfe,14.69,x2y2,19757649,1714353121,0x47908f6d62f3d1e924b7f21f07ad98dc80108be7fc233eefb0e4982d6077ab0b
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,1730,0x9d604a517750eecea2ee5c883d491449808a3498,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,12.8,x2y2,19721684,1713917118,0xcb6e633ff54676a1ef3c7c782cfdbb74618c24351701d5fa5df2951501587ffe
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7845,0x8319e29b4693b0dbd6c2bc6a881d19c8caefbae1,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,12.549,seaport,19716572,1713855146,0x536bf5e4efad23ad6d55c4c8b2264e5dd2e2751bdfd25c0a6058d7650a5b1646
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7232,0xed19eaea3bde70e0c9652485406fe961a85f4287,0x1e04bfb945dfa23ed8bdea67947ca0d7b5fff75d,14.5,x2y2,19713923,1713823032,0x306198aab98df7282e48df261907dd8ad7080f33f2fd4aa95c0aff244ac944b7
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2063,0xc9aa3445ddb743219c930449d5fad7e8dd3f999e,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,12.479,seaport,19690094,1713534154,0xafe5fd581a907192631d029196efa1c02de5e118187605468bac8585052824f7
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9335,0x1bf22a19a8d0b9cdfdd5c0859b5bd72c05f2d6a2,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,11.87999,seaport,19679143,1713401395,0x15dfd2d6a00721bfc9f35442663659a833ce8b674e9f716a9fa6bc752758d7ba
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,17,0xe0d63848440166c6574d983e478dd14489b67909,0x0bd7b1283902f5f1352fd17d5b4aa03d29484285,0.0,seaport,19670872,1713301126,0xee3776f28320248279447c9869203019bc813be93e3b276698ad2b13e5165bd8
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4954,0xc2e64d8f06ebe89cfe37389201348724b9744120,0xdf14c55a16b09d185b84889d4034630d9d5c4deb,12.3,x2y2,19669828,1713288470,0xdc53ae0203a3fd5afc4f01fd198a22657e11a5252427db8969fd4b6d8d157e5e
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5459,0x7c1958ba95ab3170f6069dadf4de304b0c00000c,0x4f83d57d7c4c19b79c83948e74e8c20e3fc541d5,10.5,x2y2,19660780,1713178781,0x3d323bbde5a6aef5a3861ec6c24f00eda2575474ab874442a7db973d903957bc
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3006,0x84ee124284cfe41b387506e3d6149bee0a9ae652,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,11.7,x2y2,19657493,1713138933,0x74908060d0f923e50ab8d8ff0d83ee3ae6c058220dc55298248a2539748aefad
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3122,0x81dcd28d1cdb0983fae16056cc76b2535d13cf8c,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,11.8675,seaport,19653551,1713091144,0x81ccceaa60fec86ef5c710c15c232b329679d4350b60ac0b25b14460a1c8dc86
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7958,0xa8ddc4fa3632dc8544e1f8d84207e59686c79764,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,12.368,seaport,19640414,1712931885,0x190c5918c0838cfe37c945767375a53a3edd25697fa86fe3a42b3be5c6216811
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,5954,0xaa7e647a7a22c66bff2601ba9cdc52366bda1993,0xf15c93562bc3944a68e938ef75d2a3360d98ca57,12.948,seaport,19623560,1712727564,0x3a1d8e89875731b871e2db5f8e61ed1fd914aa99943c2948404918ae3c82669c
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4192,0x00c6718bb74549e3cb18b708177d8c5a28c2680e,0x3f9343a5b2d1ccad06a07219b7d74e3cbff1b8cb,13.65,x2y2,19618734,1712669059,0x582a16d0eb13f081351c1b304edd51a68d13acca68848e98fd3eafbf68a8b39f
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,7604,0x19fe1cbf96cf38bd0ae84556505cef05e57857e6,0x969fa39f580aa68e72959fa279c8576da34e56d9,19.99,seaport,19615551,1712630471,0x483aeb9586e2ac791743caaaa587d0925f541fbc30e8f8acdf19036d9572c798
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,8295,0x9d604a517750eecea2ee5c883d491449808a3498,0x6cfdad0772edc2ea15076a9706ec7c1f0a791ac1,42.0,x2y2,19613791,1712609135,0x75db7d60b1fcd1d5301d529e73f8e32e232e8f513c48b6ead49828ac29942456
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,6368,0x3820c123ca814d9e05c46f30e3b7bb3bab905af5,0xa8e0681d9e870b457084fb9223f13401b20b4ad0,21.0,seaport,19594362,1712373598,0xd3d5c56ae1eef322102585bfc69cb178477833f50bb4061bf5901f132b81c8cf
BoredApeYachtClub,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9619,0xf0e569de368adc35e3c928a2b3da4c0871645e01,0x0097b9cfe64455eed479292671a1121f502bc954,16.7,x2y2,19569011,1712066269,0x65a4c21948d4ad819b93e54a40ee448d74f8eb840bbfaf4e6d26e80d366cdafa
